time_board,marker
1730654803.2839873,3.0
1730654803.2879865,3.0
1730654803.2920513,3.0
1730654803.2970316,3.0
1730654803.3010368,3.0
1730654803.3050444,3.0
1730654803.3090465,3.0
1730654803.312092,3.0
1730654803.316036,3.0
1730654803.3200724,3.0
1730654803.3240747,3.0
1730654803.329132,3.0
1730654803.3331008,3.0
1730654803.33609,3.0
1730654803.34013,3.0
1730654803.344143,3.0
1730654803.348169,3.0
1730654803.3522012,3.0
1730654803.3571565,3.0
1730654803.3611465,3.0
1730654803.3641624,3.0
1730654803.3681653,3.0
1730654803.3721728,3.0
1730654803.376146,3.0
1730654803.3802752,3.0
1730654803.385393,3.0
1730654803.3893847,3.0
1730654803.392184,3.0
1730654803.3964071,3.0
1730654803.400187,3.0
1730654803.4044185,3.0
1730654803.408392,3.0
1730654803.412424,3.0
1730654803.417239,3.0
1730654803.4205942,3.0
1730654803.4246774,3.0
1730654803.4285328,3.0
1730654803.4326577,3.0
1730654803.436488,3.0
1730654803.4415567,3.0
1730654803.444409,3.0
1730654803.4474027,3.0
1730654803.4524384,3.0
1730654803.4566176,3.0
1730654803.460364,3.0
1730654803.4643877,3.0
1730654803.4682696,3.0
1730654803.4726148,3.0
1730654803.4753883,3.0
1730654803.480506,3.0
1730654803.4843645,3.0
1730654803.488417,3.0
1730654803.492425,3.0
1730654803.4964983,3.0
1730654803.499365,3.0
1730654803.5034385,3.0
1730654803.509376,3.0
1730654803.5124075,3.0
1730654803.5173788,3.0
1730654803.521521,3.0
1730654803.5244348,3.0
1730654803.5281756,3.0
1730654803.5314078,3.0
1730654803.5365534,3.0
1730654803.54088,3.0
1730654803.5444384,3.0
1730654803.5487876,3.0
1730654803.5528033,3.0
1730654803.5561411,3.0
1730654803.559871,3.0
1730654803.5634618,3.0
1730654803.5684285,3.0
1730654803.572492,3.0
1730654803.5764785,3.0
1730654803.5794597,3.0
1730654803.5843017,3.0
1730654803.5880215,3.0
1730654803.591643,3.0
1730654803.5960548,3.0
1730654803.6006954,3.0
1730654803.6045115,3.0
1730654803.6075706,3.0
1730654803.6136806,3.0
1730654803.6155157,3.0
1730654803.6195788,3.0
1730654803.623977,3.0
1730654803.628566,3.0
1730654803.6315773,3.0
1730654803.635565,3.0
1730654803.6395516,3.0
1730654803.64357,3.0
1730654803.648039,3.0
1730654803.6515927,3.0
1730654803.6568177,3.0
1730654803.6595929,3.0
1730654803.6639893,3.0
1730654803.6676073,3.0
1730654803.673253,3.0
1730654803.6757672,3.0
1730654803.6802354,3.0
1730654803.6846457,3.0
1730654803.6881676,3.0
1730654803.6918647,3.0
1730654803.6957314,3.0
1730654803.699715,3.0
1730654803.703732,3.0
1730654803.7076924,3.0
1730654803.7117572,3.0
1730654803.7146869,3.0
1730654803.7187636,3.0
1730654803.723762,3.0
1730654803.7276857,3.0
1730654803.7317271,3.0
1730654803.7357388,3.0
1730654803.7397509,3.0
1730654803.7427387,3.0
1730654803.7468083,3.0
1730654803.7517953,3.0
1730654803.75581,3.0
1730654803.75979,3.0
1730654803.7668395,3.0
1730654803.7698357,3.0
1730654803.7738383,3.0
1730654803.77691,3.0
1730654803.7798512,3.0
1730654803.7838433,3.0
1730654803.7878191,3.0
1730654803.7918167,3.0
1730654803.794837,3.0
1730654803.7988365,3.0
1730654803.8028834,3.0
1730654803.8069668,3.0
1730654803.8118486,3.0
1730654803.8159256,3.0
1730654803.8199394,3.0
1730654803.8228936,3.0
1730654803.8270028,3.0
1730654803.830934,3.0
1730654803.8349192,3.0
1730654803.8399267,3.0
1730654803.8439434,3.0
1730654803.8469148,3.0
1730654803.850922,3.0
1730654803.8549817,3.0
1730654803.8589652,3.0
1730654803.8629732,3.0
1730654803.867964,3.0
1730654803.8719947,3.0
1730654803.8749652,3.0
1730654803.8789763,3.0
1730654803.8831587,3.0
1730654803.8870013,3.0
1730654803.891009,3.0
1730654803.8953052,3.0
1730654803.9010549,3.0
1730654803.905007,3.0
1730654803.908108,3.0
1730654803.9110763,3.0
1730654803.9151642,3.0
1730654803.9190695,3.0
1730654803.9242437,3.0
1730654803.9292283,3.0
1730654803.9320664,3.0
1730654803.9360638,3.0
1730654803.9390657,3.0
1730654803.9431136,3.0
1730654803.947094,3.0
1730654803.952117,3.0
1730654803.9551263,3.0
1730654803.9581811,3.0
1730654803.9631257,3.0
1730654803.9671438,3.0
1730654803.9711428,3.0
1730654803.975224,3.0
1730654803.9791615,3.0
1730654803.9831882,3.0
1730654803.986182,3.0
1730654803.991158,3.0
1730654803.99518,3.0
1730654803.9992464,3.0
1730654804.003203,3.0
1730654804.007264,3.0
1730654804.011279,3.0
1730654804.0142384,3.0
1730654804.018267,3.0
1730654804.0232513,3.0
1730654804.0272496,3.0
1730654804.031276,3.0
1730654804.0342772,3.0
1730654804.0382526,3.0
1730654804.0422578,3.0
1730654804.0462732,3.0
1730654804.0523193,3.0
1730654804.0552776,3.0
1730654804.0593095,3.0
1730654804.06233,3.0
1730654804.0666845,3.0
1730654804.0704691,3.0
1730654804.0745633,3.0
1730654804.0796518,3.0
1730654804.0833757,3.0
1730654804.087548,3.0
1730654804.0904567,3.0
1730654804.0947,3.0
1730654804.0986283,3.0
1730654804.102393,3.0
1730654804.1067016,3.0
1730654804.1117332,3.0
1730654804.1149414,3.0
1730654804.1183949,3.0
1730654804.12246,3.0
1730654804.126582,3.0
1730654804.1304262,3.0
1730654804.135645,3.0
1730654804.139754,3.0
1730654804.14243,3.0
1730654804.146448,3.0
1730654804.1504278,3.0
1730654804.1546884,3.0
1730654804.1585252,3.0
1730654804.1625533,3.0
1730654804.1674497,3.0
1730654804.1705575,3.0
1730654804.174497,3.0
1730654804.17876,3.0
1730654804.1827362,3.0
1730654804.1867912,3.0
1730654804.190804,3.0
1730654804.1957707,3.0
1730654804.1988115,3.0
1730654804.2016857,3.0
1730654804.2067847,3.0
1730654804.2107787,3.0
1730654804.214798,3.0
1730654804.218793,3.0
1730654804.222798,3.0
1730654804.2255929,3.0
1730654804.2298927,3.0
1730654804.2358224,3.0
1730654804.2388408,3.0
1730654804.242684,3.0
1730654804.2468476,3.0
1730654804.249809,3.0
1730654804.2538593,3.0
1730654804.257893,3.0
1730654804.2626405,3.0
1730654804.2667017,3.0
1730654804.2706976,3.0
1730654804.2747977,3.0
1730654804.2777624,3.0
1730654804.281757,3.0
1730654804.2857473,3.0
1730654804.2906437,3.0
1730654804.2948916,3.0
1730654804.2988975,3.0
1730654804.3019032,3.0
1730654804.3057935,3.0
1730654804.3098571,3.0
1730654804.3137915,3.0
1730654804.3189125,3.0
1730654804.3228855,3.0
1730654804.3269265,3.0
1730654804.3298285,3.0
1730654804.3338025,3.0
1730654804.3377872,3.0
1730654804.341744,3.0
1730654804.3458376,3.0
1730654804.350814,3.0
1730654804.354784,3.0
1730654804.3579564,3.0
1730654804.3618567,3.0
1730654804.3659875,3.0
1730654804.3699293,3.0
1730654804.3740234,3.0
1730654804.3788607,3.0
1730654804.38301,3.0
1730654804.3859184,3.0
1730654804.3898604,3.0
1730654804.3939364,3.0
1730654804.397936,3.0
1730654804.4019237,3.0
1730654804.4069047,3.0
1730654804.4098709,3.0
1730654804.4138846,3.0
1730654804.4179769,3.0
1730654804.4219077,3.0
1730654804.42593,3.0
1730654804.4299736,3.0
1730654804.4349384,3.0
1730654804.437904,3.0
1730654804.4418852,3.0
1730654804.4459295,3.0
1730654804.4499023,3.0
1730654804.454072,3.0
1730654804.457971,3.0
1730654804.4630988,3.0
1730654804.4659753,3.0
1730654804.469102,3.0
1730654804.4741447,3.0
1730654804.4781487,3.0
1730654804.4819777,3.0
1730654804.4861732,3.0
1730654804.4901524,3.0
1730654804.4942057,3.0
1730654804.4971907,3.0
1730654804.5020251,3.0
1730654804.5062628,3.0
1730654804.5102382,3.0
1730654804.514138,3.0
1730654804.5170443,3.0
