time_board,marker
1730245791.8285644,4.0
1730245791.8325975,4.0
1730245791.8355908,4.0
1730245791.8395424,4.0
1730245791.8434649,4.0
1730245791.8485682,4.0
1730245791.8526232,4.0
1730245791.8566628,4.0
1730245791.8605158,4.0
1730245791.8635526,4.0
1730245791.867608,4.0
1730245791.8715787,4.0
1730245791.876695,4.0
1730245791.880627,4.0
1730245791.884673,4.0
1730245791.888589,4.0
1730245791.891729,4.0
1730245791.8957384,4.0
1730245791.8997524,4.0
1730245791.903761,4.0
1730245791.9087255,4.0
1730245791.912586,4.0
1730245791.9167683,4.0
1730245791.9197702,4.0
1730245791.9237888,4.0
1730245791.927816,4.0
1730245791.9318144,4.0
1730245791.9367943,4.0
1730245791.9408035,4.0
1730245791.9438045,4.0
1730245791.9478335,4.0
1730245791.9518244,4.0
1730245791.9559104,4.0
1730245791.9599135,4.0
1730245791.963759,4.0
1730245791.9689257,4.0
1730245791.9717777,4.0
1730245791.9759097,4.0
1730245791.979741,4.0
1730245791.983936,4.0
1730245791.98779,4.0
1730245791.991783,4.0
1730245791.9967985,4.0
1730245791.9999592,4.0
1730245792.0040112,4.0
1730245792.007964,4.0
1730245792.0117848,4.0
1730245792.0159895,4.0
1730245792.0199828,4.0
1730245792.0249908,4.0
1730245792.0279293,4.0
1730245792.0319693,4.0
1730245792.0359724,4.0
1730245792.040017,4.0
1730245792.04404,4.0
1730245792.0480044,4.0
1730245792.051992,4.0
1730245792.054898,4.0
1730245792.060047,4.0
1730245792.064014,4.0
1730245792.067952,4.0
1730245792.0719793,4.0
1730245792.0759358,4.0
1730245792.0799234,4.0
1730245792.082932,4.0
1730245792.087016,4.0
1730245792.0919335,4.0
1730245792.095932,4.0
1730245792.100042,4.0
1730245792.1039772,4.0
1730245792.1079812,4.0
1730245792.111124,4.0
1730245792.1151044,4.0
1730245792.1201258,4.0
1730245792.124176,4.0
1730245792.128167,4.0
1730245792.132202,4.0
1730245792.1362493,4.0
1730245792.1392643,4.0
1730245792.1432235,4.0
1730245792.148174,4.0
1730245792.1522305,4.0
1730245792.1561933,4.0
1730245792.1593883,4.0
1730245792.163026,4.0
1730245792.1671827,4.0
1730245792.1710696,4.0
1730245792.176254,4.0
1730245792.180035,4.0
1730245792.1842847,4.0
1730245792.1880908,4.0
1730245792.1922858,4.0
1730245792.1960893,4.0
1730245792.19925,4.0
1730245792.2032237,4.0
1730245792.208192,4.0
1730245792.212149,4.0
1730245792.2151556,4.0
1730245792.2191317,4.0
1730245792.2231965,4.0
1730245792.227208,4.0
1730245792.2313335,4.0
1730245792.2363515,4.0
1730245792.2403648,4.0
1730245792.2433765,4.0
1730245792.2473104,4.0
