time_board,marker
1730330738.1829922,5.0
1730330738.1860502,5.0
1730330738.1900551,5.0
1730330738.1941028,5.0
1730330738.197984,5.0
1730330738.2031007,5.0
1730330738.206997,5.0
1730330738.211141,5.0
1730330738.2140045,5.0
1730330738.2179909,5.0
1730330738.2220232,5.0
1730330738.2261207,5.0
1730330738.2310307,5.0
1730330738.2350235,5.0
1730330738.2380235,5.0
1730330738.2420216,5.0
1730330738.246048,5.0
1730330738.2500856,5.0
1730330738.254073,5.0
1730330738.259048,5.0
1730330738.263064,5.0
1730330738.2661288,5.0
1730330738.270046,5.0
1730330738.2741091,5.0
1730330738.2781444,5.0
1730330738.2822464,5.0
1730330738.2870712,5.0
1730330738.2911203,5.0
1730330738.294132,5.0
1730330738.298139,5.0
1730330738.302165,5.0
1730330738.3061714,5.0
1730330738.310184,5.0
1730330738.314185,5.0
1730330738.3191547,5.0
1730330738.322225,5.0
1730330738.3262093,5.0
1730330738.3301752,5.0
1730330738.334262,5.0
1730330738.3382723,5.0
1730330738.3422613,5.0
1730330738.346214,5.0
1730330738.34928,5.0
1730330738.3542328,5.0
1730330738.3583665,5.0
1730330738.3622146,5.0
1730330738.366334,5.0
1730330738.3722887,5.0
1730330738.3753152,5.0
1730330738.379321,5.0
1730330738.3823416,5.0
1730330738.3863325,5.0
1730330738.3903751,5.0
1730330738.394487,5.0
1730330738.3992963,5.0
1730330738.402304,5.0
1730330738.4053965,5.0
1730330738.4103904,5.0
1730330738.4143453,5.0
1730330738.418383,5.0
1730330738.4223871,5.0
1730330738.4263728,5.0
1730330738.4303854,5.0
1730330738.4334376,5.0
1730330738.4373367,5.0
1730330738.4424648,5.0
1730330738.4463732,5.0
1730330738.4504511,5.0
1730330738.4543755,5.0
1730330738.4584715,5.0
1730330738.4614787,5.0
1730330738.4654691,5.0
1730330738.4704435,5.0
1730330738.47441,5.0
1730330738.4785795,5.0
1730330738.4815035,5.0
1730330738.4857552,5.0
1730330738.4894657,5.0
1730330738.4934628,5.0
1730330738.4984677,5.0
1730330738.5025015,5.0
1730330738.5064893,5.0
1730330738.5095077,5.0
1730330738.51394,5.0
1730330738.5174975,5.0
1730330738.5215533,5.0
1730330738.5266008,5.0
1730330738.5306334,5.0
1730330738.5346289,5.0
1730330738.5375204,5.0
1730330738.5416207,5.0
1730330738.545601,5.0
1730330738.5495226,5.0
1730330738.5535953,5.0
1730330738.558548,5.0
1730330738.5627213,5.0
1730330738.5655725,5.0
1730330738.569676,5.0
1730330738.573629,5.0
1730330738.5777133,5.0
1730330738.5817485,5.0
1730330738.5867171,5.0
1730330738.5895965,5.0
1730330738.5937347,5.0
1730330738.5976756,5.0
1730330738.6016283,5.0
1730330738.6057436,5.0
1730330738.6096733,5.0
1730330738.614706,5.0
1730330738.617728,5.0
1730330738.621678,5.0
1730330738.62575,5.0
1730330738.6296902,5.0
1730330738.6337783,5.0
1730330738.6376867,5.0
1730330738.6428547,5.0
1730330738.6457024,5.0
1730330738.6496956,5.0
1730330738.6537015,5.0
1730330738.6578555,5.0
1730330738.661891,5.0
1730330738.6660166,5.0
1730330738.670034,5.0
1730330738.6738253,5.0
1730330738.6768148,5.0
1730330738.6819043,5.0
1730330738.685874,5.0
1730330738.6898525,5.0
1730330738.6937904,5.0
1730330738.6977973,5.0
1730330738.7017696,5.0
1730330738.7048008,5.0
1730330738.710002,5.0
1730330738.7138596,5.0
1730330738.7179253,5.0
1730330738.7219808,5.0
1730330738.725031,5.0
1730330738.7289357,5.0
1730330738.732994,5.0
1730330738.737,5.0
1730330738.7420027,5.0
1730330738.7459388,5.0
1730330738.7499857,5.0
1730330738.7529457,5.0
1730330738.7570927,5.0
1730330738.760924,5.0
1730330738.7650664,5.0
1730330738.7700713,5.0
1730330738.774071,5.0
1730330738.7779987,5.0
1730330738.7810493,5.0
1730330738.7850592,5.0
1730330738.7891238,5.0
1730330738.793053,5.0
1730330738.7981827,5.0
1730330738.802091,5.0
1730330738.8061132,5.0
1730330738.809131,5.0
1730330738.8130732,5.0
1730330738.8171625,5.0
1730330738.8210337,5.0
1730330738.8250833,5.0
1730330738.830089,5.0
1730330738.834106,5.0
1730330738.8370392,5.0
1730330738.8412373,5.0
1730330738.8453276,5.0
1730330738.849119,5.0
1730330738.8532145,5.0
1730330738.858264,5.0
1730330738.8612237,5.0
1730330738.8651652,5.0
