Fp1,C3,time_board
29844.80915603747,17255.233795074677,1730653657.0263965
29855.694455587203,17250.204652572233,1730653657.0312157
29870.066627271968,17245.13080658088,1730653657.0351677
29872.882947073336,17246.181338570277,1730653657.0413785
29859.896583544803,17254.071504363,1730653657.044129
29843.06571996996,17255.881995663884,1730653657.0470853
29844.47387987064,17248.014181615614,1730653657.0512128
29862.51173764608,17242.35919026842,1730653657.0543015
29866.088016758924,17245.46608274771,1730653657.0591972
29854.8450892979,17260.575861999496,1730653657.0630248
29846.530240360527,17251.83632991747,1730653657.0670896
29862.51173764608,17258.586556742976,1730653657.0700877
29866.71386560368,17254.764408441115,1730653657.0743055
29871.318324961463,17256.530196253087,1730653657.0782015
29889.982031581647,17258.631260231883,1730653657.0821216
29906.05293584501,17255.859643919426,1730653657.0864525
29847.804289794483,17252.372771784398,1730653657.0916195
29806.85589395236,17251.433998517277,1730653657.094392
29844.697397315194,17249.80232117204,1730653657.0984073
29881.95775532219,17254.49618750765,1730653657.1023953
29867.093845259413,17248.014181615614,1730653657.1062791
29822.77033600453,17219.22513475718,1730653657.112255
29821.07160342593,17232.591477941452,1730653657.1152256
29842.1940019362,17261.112303866423,1730653657.1192925
29872.458263928685,17260.620565488407,1730653657.1222093
29882.33773497793,17248.08123684898,1730653657.1262848
29811.52740854352,17218.2640097456,1730653657.1301732
29778.75975117204,17253.602117729442,1730653657.1343496
29814.164914389243,17256.46314101972,1730653657.1382391
29856.00738000957,17253.400952029344,1730653657.1426015
29902.70017417672,17267.124923124902,1730653657.1472409
29872.122987761857,17262.14048411137,1730653657.1505947
29845.1444322043,17245.13080658088,1730653657.1535194
29873.84407208492,17243.27561179109,1730653657.158564
29858.890755044315,17252.26101306212,1730653657.162557
29857.95198177719,17300.116097940936,1730653657.166439
29854.800385809,17324.01011276366,1730653657.1705005
29847.37960664984,17287.017975690123,1730653657.174502
29849.48067062863,17265.60500450194,1730653657.1783595
29867.58558363743,17242.001562357138,1730653657.1813767
29863.51756614656,17237.68767567726,1730653657.1865184
29844.42917638173,17219.40394871282,1730653657.1905012
29882.181272766746,17245.488434492163,1730653657.194523
29833.27565589853,17253.758579940626,1730653657.1986609
29869.23961272712,17280.267748864622,1730653657.2017827
29926.90711342181,17295.399879860866,1730653657.205432
29823.753812760573,17282.23470237669,1730653657.2096567
29716.84541903084,17213.570143409986,1730653657.2145383
29810.76744923204,17216.341759722443,1730653657.2188349
29875.85572908589,17269.293042337067,1730653657.2223845
29864.009304524578,17280.781838987095,1730653657.2266517
29876.079246530444,17243.119149579903,1730653657.229433
29864.81396732497,17240.034608845068,1730653657.2336512
29807.682908497205,17286.146257656368,1730653657.2376037
29885.60108966841,17266.767295213616,1730653657.2426617
29957.32783762549,17275.395068573365,1730653657.2463703
29966.469701107708,17273.741039483673,1730653657.2505853
29762.08534980837,17251.903385150836,1730653657.2545078
